miner_id,client_name,miner_name,status,miner_type,miner_ip,miner_mac,miner_serial,psu_serial,miner_created_date,uptime,firmware_version,miner_tags,observed,last_update,last_update_unix,hash_rate,max_temp,temps,max_fan,fans,accepted_shares,rejected_shares,stale_shares,active_pool,active_worker,pool_1_url,pool_1_worker,pool_2_url,pool_2_worker,pool_3_url,pool_3_worker,pool_connected,submitting_shares,wattage,power_mode,pickaxe,description,miner_row,miner_index,miner_rack,miner_rack_group,miner_control_board
12276032,Tula,Whatsminer M30S+ - c8:04:08:00:35:d3,okay,Whatsminer M30S+,172.16.132.125,c8:04:08:00:35:d3,,3D212202109,2025-05-26 23:47:08.466190+0000,4:53:53.267389,20230911.12.Rel,,True,2025-06-10 23:07:43.296000+00:00,1749596863296,103394639620000.0000000000,88,30:79:88:74:83:77:85:38,8912,5730:5850:8912,1149,29,9,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T1-178,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T1-178,,,,,True,True,3636,normal,Esme,,,,,,
12276033,Tula,Whatsminer M30S - ca:03:15:00:1a:5c,fail,Whatsminer M30S,0.0.0.0,ca:03:15:00:1a:5c,,7D221501240,2025-05-26 23:47:08.466190+0000,0:00:00,,,True,2025-06-10 22:45:40.440000+00:00,1749595540440,0,,,,,0,0,0,,,,,,,,,False,False,90,sleeping,Esme,,,,,,
12276034,Tula,Whatsminer M30S+ - c8:04:08:00:18:5e,okay,Whatsminer M30S+,172.16.132.164,c8:04:08:00:18:5e,,3D212300517,2025-05-26 23:47:08.466190+0000,4:52:53.170591,20230911.12.Rel,,True,2025-06-10 23:07:43.296000+00:00,1749596863296,103702128820000.0000000000,87,32:75:84:73:80:78:87:42,9424,6180:6150:9424,1018,0,11,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T1-87,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T1-87,,,,,True,True,3652,normal,Esme,,,,,,
12276035,Tula,Whatsminer M30S+ - c8:04:08:00:27:37,okay,Whatsminer M30S+,172.16.132.159,c8:04:08:00:27:37,,7D234100401,2025-05-26 23:47:08.466190+0000,"14 days, 23:20:58.874745",20220712.14.Rel,,True,2025-06-10 23:07:43.296000+00:00,1749596863296,0E-10,35,30:35:0:34:0:34:0,7710,7710:7472,0,0,0,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T86,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T86,stratum+ssl,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T86,,,True,True,2,sleeping,Esme,,,,,,
12276036,Tula,Whatsminer M30S+ - c8:01:26:00:0f:55,okay,Whatsminer M30S+,172.16.132.160,c8:01:26:00:0f:55,,3D212200759,2025-05-26 23:47:08.466190+0000,4:52:53.173354,20230911.12.Rel,,True,2025-06-10 23:07:43.296000+00:00,1749596863296,103393655880000.0000000000,87,30:79:87:78:86:80:87:39,9568,5580:5400:9568,996,2,11,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T1-84,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T1-84,,,,,True,True,3621,normal,Esme,,,,,,
12276037,Tula,Whatsminer M30S+ - c8:08:18:00:2a:28,okay,Whatsminer M30S+,172.16.132.168,c8:08:18:00:2a:28,,A1232B0921090745,2025-05-26 23:47:08.466190+0000,4:44:52.784427,20230714.15.Rel,,True,2025-06-10 23:07:43.296000+00:00,1749596863296,102565320390000.0000000000,88,33:80:88:77:85:75:85:75,6976,5610:5610:6976,897,0,7,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T79,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T79,stratum+ssl,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T79,,,True,True,3646,normal,Esme,,,,,,
12276038,Tula,Whatsminer M30S+ - c8:06:22:00:2c:a3,okay,Whatsminer M30S+,172.16.132.165,c8:06:22:00:2c:a3,,7D213502460,2025-05-26 23:47:08.466190+0000,4:44:52.785782,20230714.15.Rel,,True,2025-06-10 23:07:43.296000+00:00,1749596863296,105303522330000.0000000000,91,35:79:91:72:80:74:84:34,9776,6090:5970:9776,926,1,0,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T88,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T88,stratum+ssl,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T88,,,True,True,3626,normal,Esme,,,,,,
12276039,Tula,Whatsminer M30S+ - c8:04:08:00:2a:ad,okay,Whatsminer M30S+,172.16.132.161,c8:04:08:00:2a:ad,,1355B2102600850,2025-05-26 23:47:08.466190+0000,"2 days, 9:11:56.274665",20220128.19.Rel,,True,2025-06-10 23:07:43.296000+00:00,1749596863296,0E-10,35,31:34:0:35:0,5960,1500:1470:5960,0,0,0,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T83,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T83,stratum+ssl,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T83,,,True,True,7,sleeping,Esme,,,,,,
12276040,Tula,Whatsminer M30S+ - c8:11:05:00:44:5d,okay,Whatsminer M30S+,172.16.132.117,c8:11:05:00:44:5d,,3D212201703,2025-05-26 23:47:08.466190+0000,4:36:52.793539,20211023.15.REL,,True,2025-06-10 23:07:43.296000+00:00,1749596863296,97469828180000.0000000000,92,31:78:92:76:89:76:90,7680,5670:5610:7680,910,13,0,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T170,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T170,stratum+ssl,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T170,,,True,True,3438,normal,Esme,,,,,,
12276041,Tula,Whatsminer M30S - ca:01:14:00:64:9c,fail,Whatsminer M30S,0.0.0.0,ca:01:14:00:64:9c,,7D221500787,2025-05-26 23:47:08.466190+0000,0:00:00,,,True,2025-06-10 22:45:40.440000+00:00,1749595540440,0,,,,,0,0,0,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.NOSE3,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.NOSE3,,,,,True,True,1114,normal,Esme,,,,,,
12276042,Tula,Whatsminer M30S+ - c8:11:19:00:18:ff,fail,Whatsminer M30S+,172.16.132.152,c8:11:19:00:18:ff,,1436Y2203602384,2025-05-26 23:47:08.466190+0000,22:50:53.608108,20230714.15.Rel,,True,2025-06-10 23:07:43.296000+00:00,1749596863296,37773182390000.0000000000,87,29:79:87:78:82:79:86:39,8544,7530:8544,1091,0,1,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T68,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T68,stratum+ssl,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T68,,,True,True,2672,normal,Esme,,,,,,
12276043,Tula,Whatsminer M30S+ - c8:08:18:00:30:a2,okay,Whatsminer M30S+,172.16.132.102,c8:08:18:00:30:a2,,A1232B0921091398,2025-05-26 23:47:08.466190+0000,4:04:42.787572,20220512.17.Rel,,True,2025-06-10 23:07:43.296000+00:00,1749596863296,90583661850000.0000000000,96,34:84:96:58:66:61:71,7560,7560:7560:6976,911,1,0,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T115,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T115,stratum+ssl,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T115,,,True,True,3121,normal,Esme,,,,,,
12276044,Tula,Whatsminer M30S+ - c8:08:18:00:28:9b,fail,Whatsminer M30S+,172.16.132.50,c8:08:18:00:28:9b,,7D213502481,2025-05-26 23:47:08.466190+0000,4:16:53.120610,20220712.14.Rel,,True,2025-06-10 23:07:43.296000+00:00,1749596863296,88123377930000.0000000000,86,29:82:86:83:84:72:76,7710,7710:7624,964,6,0,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T1-57,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T1-57,stratum+ssl,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.M30sZ-18,,,True,True,2898,normal,Esme,,,,,,
12276045,Tula,Whatsminer M31S+ - c8:11:05:00:7a:70,okay,Whatsminer M31S+,172.16.132.91,c8:11:05:00:7a:70,,1355Z2239600157,2025-05-26 23:47:08.466190+0000,4:55:52.623678,20230714.15.Rel,,True,2025-06-10 23:07:43.296000+00:00,1749596863296,79273016760000.0000000000,84,31:71:84:64:76:67:80:43,7152,7020:7020:7152,1045,0,3,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T165,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T165,,,,,True,True,3503,normal,Esme,,,,,,
12276046,Tula,Whatsminer M30S+ - c8:01:10:00:19:cc,okay,Whatsminer M30S+,172.16.132.90,c8:01:10:00:19:cc,,3D205210132,2025-05-26 23:47:08.466190+0000,"2 days, 2:11:46.518152",20230911.12.Rel,,True,2025-06-10 23:07:43.296000+00:00,1749596863296,102824144340000.0000000000,89,31:78:87:77:85:80:89:41,9568,5550:5610:9568,984,23,11,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T1-168,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T1-168,,,,,True,True,3641,normal,Esme,,,,,,
12276047,Tula,Whatsminer M30S+ - c8:06:22:00:75:72,okay,Whatsminer M30S+,172.16.132.239,c8:06:22:00:75:72,,1355A2129603393,2025-05-26 23:47:08.466190+0000,4:55:52.626572,20230911.12.Rel,,True,2025-06-10 23:07:43.296000+00:00,1749596863296,103386764350000.0000000000,89,31:80:89:75:82:73:82:43,9808,5880:5880:9808,1192,5,7,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T1-174,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T1-174,,,,,True,True,3637,normal,Esme,,,,,,
12276048,Tula,Whatsminer M30S+ - c8:09:24:00:99:c1,okay,Whatsminer M30S+,172.16.132.96,c8:09:24:00:99:c1,,1355A2147601766,2025-05-26 23:47:08.466190+0000,4:56:48.622160,20230714.15.Rel,,True,2025-06-10 23:07:43.296000+00:00,1749596863296,101886568760000.0000000000,86,31:77:86:73:80:74:83:40,8096,5700:5790:8096,969,0,1,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T110,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T110,stratum+ssl,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T110,,,True,True,3631,normal,Esme,,,,,,
12276049,Tula,Whatsminer M30S+ - c8:11:05:00:3f:e0,fail,Whatsminer M30S+,0.0.0.0,c8:11:05:00:3f:e0,,A1232B0921091586,2025-05-26 23:47:08.466190+0000,0:00:00,20220512.17.Rel,,True,2025-06-10 22:45:40.440000+00:00,1749595540440,0,,,,,0,0,0,,,,,,,,,False,False,3014,normal,Esme,,,,,,
12276050,Tula,Whatsminer M30S+ - c8:11:05:00:88:82,okay,Whatsminer M30S+,172.16.132.153,c8:11:05:00:88:82,,1355A2125601633,2025-05-26 23:47:08.466190+0000,4:44:52.803576,20211023.15.REL,,True,2025-06-10 23:07:43.296000+00:00,1749596863296,105217851080000.0000000000,88,29:80:88:74:80:78:87,6976,5610:5700:6976,1028,0,0,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T1-126,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T1-126,,,,,True,True,3623,normal,Esme,,,,,,
12276051,Tula,Whatsminer M30S+ - c8:01:26:00:12:7c,okay,Whatsminer M30S+,172.16.132.88,c8:01:26:00:12:7c,,3D212201454,2025-05-26 23:47:08.466190+0000,4:55:52.631943,20230911.12.Rel,,True,2025-06-10 23:07:43.296000+00:00,1749596863296,102245308240000.0000000000,90,36:80:90:69:78:69:78:38,10448,6870:6930:10448,966,22,8,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T1-114,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T1-114,,,,,True,True,3621,normal,Esme,,,,,,
12276052,Tula,Whatsminer M30S+ - c8:04:08:00:5b:9c,okay,Whatsminer M30S+,172.16.132.135,c8:04:08:00:5b:9c,,3D212200785,2025-05-26 23:47:08.466190+0000,4:53:53.295909,20230911.12.Rel,,True,2025-06-10 23:07:43.296000+00:00,1749596863296,102816041820000.0000000000,88,29:80:88:75:82:75:83:37,9632,5820:5880:9632,1044,23,13,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T1-123,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T1-123,,,,,True,True,3646,normal,Esme,,,,,,
12276053,Tula,Whatsminer M30S+ - c8:11:16:00:a5:9c,okay,Whatsminer M30S+,172.16.132.139,c8:11:16:00:a5:9c,,3D212300160,2025-05-26 23:47:08.466190+0000,4:52:53.198067,20230911.12.Rel,,True,2025-06-10 23:07:43.296000+00:00,1749596863296,102270905970000.0000000000,92,51:79:90:80:91:81:92:58,10496,7710:7680:10496,1016,11,9,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T1-17,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T1-17,,,,,True,True,3670,normal,Esme,,,,,,
12276054,Tula,Whatsminer M30S+ - c8:04:08:00:53:fa,okay,Whatsminer M30S+,172.16.132.114,c8:04:08:00:53:fa,,3D212200715,2025-05-26 23:47:08.466190+0000,4:40:52.425948,20230911.12.Rel,,True,2025-06-10 23:07:43.296000+00:00,1749596863296,103602006830000.0000000000,91,38:70:80:73:82:80:91:47,9984,6420:6300:9984,892,4,0,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T1-3,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T1-3,,,,,True,True,3606,normal,Esme,,,,,,
12276055,Tula,Whatsminer M30S+ - c8:01:10:00:06:43,okay,Whatsminer M30S+,172.16.132.97,c8:01:10:00:06:43,,3D204903334,2025-05-26 23:47:08.466190+0000,4:51:53.162905,20230911.12.Rel,,True,2025-06-10 23:07:43.296000+00:00,1749596863296,102540793700000.0000000000,90,33:78:90:73:82:75:86:40,10112,6180:6180:10112,1030,10,7,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T1-61,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T1-61,,,,,True,True,3646,normal,Esme,,,,,,
12276056,Tula,Whatsminer M30S+ - c8:11:16:00:72:b0,okay,Whatsminer M30S+,172.16.132.146,c8:11:16:00:72:b0,,1436Y2202600296,2025-05-26 23:47:08.466190+0000,4:44:52.812028,20220512.17.Rel,,True,2025-06-10 23:07:43.296000+00:00,1749596863296,97626638600000.0000000000,90,27:77:89:76:85:78:90,8352,5550:5400:8352,948,7,0,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T176,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T176,stratum+ssl,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T176,,,True,True,3423,normal,Esme,,,,,,
12276057,Tula,Whatsminer M30S+ - c8:08:18:00:42:10,okay,Whatsminer M30S+,172.16.132.127,c8:08:18:00:42:10,,1355A2138600145,2025-05-26 23:47:08.466190+0000,4:11:53.022582,20220512.17.Rel,,True,2025-06-10 23:07:43.296000+00:00,1749596863296,97333175940000.0000000000,90,28:80:90:57:64:70:79,9136,7500:7800:9136,902,0,0,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T122,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T122,stratum+ssl,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T122,,,True,True,3429,normal,Esme,,,,,,
12276058,Tula,Whatsminer M30S+ - c8:01:10:00:19:e4,okay,Whatsminer M30S+,172.16.132.52,c8:01:10:00:19:e4,,3D205210857,2025-05-26 23:47:08.466190+0000,4:44:52.814774,20230911.12.Rel,,True,2025-06-10 23:07:43.296000+00:00,1749596863296,102824896360000.0000000000,92,32:69:77:71:80:79:92:43,9632,6900:6900:9632,948,0,7,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T1-55,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T1-55,,,,,True,True,3622,normal,Esme,,,,,,
12276059,Tula,Whatsminer M31S+ - c8:11:05:00:88:6f,fail,Whatsminer M31S+,172.16.132.89,c8:11:05:00:88:6f,,1355A2218601431,2025-05-26 23:47:08.466190+0000,15:27:53.066550,20211023.15.REL,,True,2025-06-10 23:07:43.296000+00:00,1749596863296,50877400140000.0000000000,81,34:73:77:76:81:73:77,7410,7410:6896,980,2,6,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T59,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T59,stratum+ssl,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T59,,,True,True,2355,normal,Esme,,,,,,
12276060,Tula,Whatsminer M30S+ - c8:09:10:00:55:4c,okay,Whatsminer M30S+,172.16.132.116,c8:09:10:00:55:4c,,1355A2143601458,2025-05-26 23:47:08.466190+0000,4:54:53.110376,20230714.15.Rel,,True,2025-06-10 23:07:43.296000+00:00,1749596863296,102814146140000.0000000000,88,32:79:88:68:75:77:86:42,9760,6210:6240:9760,970,0,12,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T71,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T71,stratum+ssl,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T171,,,True,True,3625,normal,Esme,,,,,,
12276061,Tula,Whatsminer M30S+ - c8:01:10:00:14:24,okay,Whatsminer M30S+,172.16.132.87,c8:01:10:00:14:24,,3D204801309,2025-05-26 23:47:08.466190+0000,4:54:53.111848,20230911.12.Rel,,True,2025-06-10 23:07:43.296000+00:00,1749596863296,102581202970000.0000000000,89,33:76:86:73:81:80:89:42,9328,6360:6390:9328,947,22,5,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T1-109,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T1-109,,,,,True,True,3690,normal,Esme,,,,,,
